,critical_temp,H,Li,Be,B,C,N,O,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi
critical_temp,1.0,-0.04890801223320264,-0.051900786381781715,-0.0473904850197308,-0.11199098969363866,-0.12183345699912686,-0.06895062112546906,0.5478684228810505,-0.012892187275510269,-0.04136901457253619,-0.03500218278235894,-0.09786260201889492,-0.14303335095010244,-0.07534319704722214,-0.13759506376125957,-0.03341603878108032,-0.058558318094963396,0.3658480726237596,-0.04661338549348659,-0.11327823895849642,-0.1253018632968021,-0.042153208654159884,-0.009880495161615084,-0.12095631323331066,-0.08850262704493977,-0.13314399946272443,0.7042500841987294,-0.0336800341542897,-0.0820238970578388,-0.10786641154398087,-0.10715405114832276,-0.11727169259566225,-0.031680721481446614,-0.03312525953881757,0.22183072325976647,0.12779074616830094,-0.12789797865016872,-0.16356611868214596,-0.133593958601885,-0.03249722191296166,-0.11075404229433942,-0.12430044367115102,-0.1196856515688874,-0.04992860270296128,-0.036267356937268645,-0.11442613058523006,-0.13718950580095002,-0.09349484420996977,-0.133303681671918,-0.019470931102691273,-0.019192625236665456,0.5477161873283211,-0.14887170687540013,-0.11046549318134696,-0.04611444664625258,-0.02333466127041413,-0.007039463646941316,0.007092641753461453,0.06635734359496061,-0.011648349457025368,0.011083897333732802,-0.008595641397836359,0.018855618477152787,-0.005460561528900092,0.03383913689324842,-0.06910791094515004,-0.06423875626013227,-0.09584605498614629,-0.0722839833462838,-0.08228305819300008,-0.08111185744855273,-0.12510513179984203,-0.099739173585422,-0.0775171841356622,0.0915647698462836,0.036983418069516945,-0.06071201641402264,0.04234272342727616
H,-0.04890801223320264,1.0,0.01384378560167226,-0.00521426559230237,-0.019749008344720705,0.010052195539051331,-0.007871410677535638,-0.023396622822918763,-0.009778981036224096,0.08436019034105544,-0.012815112785666211,-0.011532394888738848,-0.011784070806710843,-0.00783039443666701,0.0026739515495432372,-0.007016609917917429,-0.005766684939418458,-0.013951938133864495,-0.00519694650051758,-0.012051957535721114,-0.008052929941562228,-0.0049431115816136045,-0.003513190088943697,0.014321339465356915,0.1334489195871708,-0.014022681323556654,-0.06883445770519757,-0.004506529768479353,-0.009409321334793207,-0.010985475748263336,0.012999161362625437,-0.008078569634527213,-0.0041254449752891244,-0.0001972579684422605,-0.036194189485481996,-0.026385608750253264,-0.010376457835694805,0.013968773612906367,-0.013420629509729935,-0.004020180737405014,-0.012004733671524053,-0.009806646945917008,0.16034923544566307,0.0006245652325915763,-0.0042280240111931084,-0.011229902827409774,-0.013948409938929252,-0.008591801171012705,-0.013449358143946523,-0.0039658575267233,-0.003221615385236095,-0.04770228116301363,-0.02017616397243025,0.020443363145163113,-0.010854956567737734,-0.014944291769282345,0.003275242409145942,-0.008969661234025277,-0.0089660207863618,-0.0040380705410084355,-0.008240562725497625,-0.008022386734688252,-0.010060112636459359,-0.007060265359781272,-0.007091961083760242,-0.009383827596745173,0.0018027983660228494,-0.0011032389348735337,-0.003706627956734839,-0.008784951701100715,-0.007895190997360546,-0.0119901198675415,-0.010052995059392993,-0.0063273331830071755,-0.011654724295526714,-0.01160823177036019,-0.011436358159187246,-0.024087203311634456
Li,-0.051900786381781715,0.01384378560167226,1.0,-0.004870672576549663,0.0319929149513788,-0.01174900280329761,0.051220763595823816,-0.05626156235276189,-0.010844587762704454,-0.00664036102377234,0.002207890495189015,-0.0053303887928458525,-0.007612683315003366,0.01120103715728321,-0.00985573204396405,0.07496842039093476,-0.011023509048176524,-0.018782646771753946,-0.004879068581958006,0.014380033863380796,-0.013872599399977112,-0.00464075980242692,-0.0038597885273005464,0.04129615649419149,-0.009320032934506107,-0.00922616822686433,-0.06937568432738019,-0.0042999237565637515,-0.009393032777601312,-0.010371094067894117,0.032693235569707525,-0.005186409610399296,0.04036272354512201,-0.003474509869415279,-0.03161313649541211,-0.02839875722809056,0.004771705386703536,-0.01669584581606335,-0.011634369136148579,-0.003774281210652434,-0.011258731060705657,-0.007114346362414399,0.11258984298742104,-0.004892632254911478,-0.003969411483208851,-0.010543011373737327,-0.01347003398485807,-0.008616636540903508,-0.012626710850517316,0.009443775923608093,-0.0018754159200039344,-0.049777321339358964,-0.027176302678698996,-0.013716165125613312,-0.01226804395896156,-0.014030204937435562,-0.010616524602992457,-0.008992734124865816,-0.012217907393188489,-0.003791076761403529,-0.007736518104936738,-0.007531687129286857,-0.009444772904745626,-0.006628415146042729,-0.006658172160290628,-0.008809853709525339,0.01414651838324421,-0.009322391774611916,-0.005854197577214529,-0.008247608828488164,-0.007412271482869877,-0.008812493504377083,0.06189131140679456,-0.007120098500076341,-0.0028436233716507033,-0.010786927679252923,-0.005312467525394106,-0.010385065580760496
Be,-0.0473904850197308,-0.00521426559230237,-0.004870672576549663,1.0,-0.004892597061068512,-0.010932260223862207,-0.006032901997474036,-0.05584567054218165,-0.007679864178462865,-0.004594134956553912,-0.002781516185988688,-0.0019770701901510182,-0.006636817185767611,-0.005788065359450499,-0.009645448310265906,-0.004562027834088497,-0.007739472687282713,-0.020003179920226304,-0.0033539911033271435,-0.006514478268891974,-0.009246448910052512,-0.003190171818362876,-0.0026533130583896326,-0.01707732377759747,-0.007321165730316302,-0.001244833263671563,-0.046696383841298025,-0.0029558727823240706,0.009817803439894792,-0.007129343777644997,-0.015047776973978398,-0.009554010587865923,-0.002715834511746386,-0.00403537867704457,-0.025351542275804443,-0.020062161652502724,0.0032611714370593035,-0.007484516589472402,-0.008139478325098792,-0.001430048400290943,-0.002834451272906355,-0.0042062898674522144,-0.0077096153369794335,-0.0033633151039321415,-0.002728670560062682,-0.00724752393941403,-0.009259630888108826,-0.0059232867530638845,-0.008679909934759474,-0.0025594742721251596,-0.002273365806433467,-0.034277661392603326,-0.018787168326102395,-0.009428827455547286,-0.008433353539187402,-0.009644706104775335,-0.007298058731613528,-0.006181825433014885,-0.008432914411319303,-0.0026060789095671715,-0.005318271809221377,-0.005177465985634755,-0.0064925679488472806,-0.004556534726974568,-0.004576990426535848,-0.00605610896157844,-0.004588758013850813,-0.0007990176512927383,0.0036165527361585762,0.003048937282231413,0.009200706197491316,-0.005793997446600998,-0.0034621209332561017,0.00480109599801701,-0.0075216940553471555,-0.007148150802083063,-0.005907929351198315,-0.01689187243174627
B,-0.11199098969363866,-0.019749008344720705,0.0319929149513788,-0.004892597061068512,1.0,0.05674199300560419,-0.016417099012798652,-0.21474494280616305,-0.026649114033746556,-0.01504701018379203,0.5608217132318334,-0.005126268262307893,-0.03348651640140895,-0.019781159707613273,-0.036136166596127534,-0.017278660660721163,-0.029313219278753102,-0.07494809463302891,0.0010747946059289748,-0.027605341374616076,-0.03562814769914619,-0.011100506605332301,0.0035038609062943344,-0.06357021193374279,-0.014493443105540734,0.21052860501221174,-0.1886630444006521,-0.008584516629739454,-0.024455861499183672,-0.026789368237583787,-0.0569933901079481,-0.03618577371737416,-0.009426987732027173,-0.01528397925964877,-0.09373259757915535,0.006111527640791519,-0.021820212459981066,-0.029148234011660733,0.002680069577355743,-0.009826783397032416,0.010806458168481251,0.09627951024791802,-0.0007850445018745797,-0.008949418131202333,-0.010334827926724716,-0.02744996552714852,-0.035015032056202676,-0.022434422919895655,-0.03287512127998211,-0.004385530847792927,-0.0086103631445492,-0.13192368111216232,-0.06153939150709085,-0.03312296600501635,-0.027716670736669727,-0.029240783889664695,-0.024453337104867783,-0.023413637050333547,-0.02290418249970989,0.012904084426915714,0.08186592878729694,0.13023376695121677,0.10217423667051746,0.0625586342506532,-0.01396492461308586,0.0864750367018432,-0.014116111052683794,-0.015865935504000468,-0.005920048922629023,-0.008590773390418544,0.0017197882769210686,0.015986867621637136,0.012686831545267415,-0.015865206235470098,-0.028488383653641557,-0.028374739018191666,-0.0288178885424266,-0.06397789366635406
C,-0.12183345699912686,0.010052195539051331,-0.01174900280329761,-0.010932260223862207,0.05674199300560419,1.0,-0.0021355279783351606,-0.1781594937892655,-0.024949203850064387,0.01709511059893593,0.017410669209724228,-0.022124633007808727,-0.02294095083688469,-0.01880340839299723,-0.026615278237864085,-0.0028408689732538927,0.055413328955943676,-0.050347902490582255,-0.0038181160772762937,-0.020309473817804936,-0.0305394225830084,-0.009578537896031218,-0.00575747988834547,-0.05391526890472901,-0.021159886528900936,0.17980864013814607,-0.15823582397467384,-0.008435787143098703,-0.019926973449019662,-0.022404782704742655,-0.048568346787849444,-0.031037652776572926,0.05032847531771976,0.08352644451166912,-0.07218036189340231,0.09813405036669667,-0.02436742677020901,-0.006548641729646347,0.07313282797250949,-0.005258734662691543,-0.02081380995318002,-0.022115723400525825,-0.020282644532657313,-0.010926239343577233,-0.00714475794963341,-0.022856729402487973,-0.028851057493816716,-0.019242695603779537,-0.0281980042003638,0.03942691019538766,0.023363856299751292,-0.11068834782217844,-0.039509473093132984,-0.030097900530406584,-0.025098251840590932,-0.029575252674583226,-0.022904302121538822,-0.020001012343047752,-0.023153201784180056,0.007673347130323708,0.02761735257423038,0.04042078341965146,0.01896798513368549,0.014257203269321466,0.0014177512561276244,0.024156907262259067,0.007317860420869461,0.027676007538876394,0.047027917708350714,-0.013977520202028419,-0.015923107753699005,-0.02307606183903166,-0.008203668667563117,-0.014499744291289696,-0.009164858938261373,-0.019222024946263565,-0.0248413797714913,-0.053408080105157976
N,-0.06895062112546906,-0.007871410677535638,0.051220763595823816,-0.006032901997474036,-0.016417099012798652,-0.0021355279783351606,1.0,-0.09832244022712913,-0.013693670617572632,0.02306384648835366,-0.011822654094977226,-0.006435396511603102,-0.016893623202230326,-0.010376547733998034,-0.0011807381641209213,0.2724555613550779,0.00967863600070615,-0.03184201420114901,-0.006012863819214244,0.03660813506470616,0.01189462325130969,-0.00533766981754772,-0.004756724033648128,-0.03061535320397815,-0.01314388629952298,-0.006066819616918365,-0.08959035056738245,-0.0035427983023609442,-0.006332736126695346,-0.012781123126064189,-0.026976885429634445,-0.017127941852680843,0.06555701904816444,0.0006621879829446453,-0.042568809642975505,-0.035956931202252844,0.04198300523242772,0.10264757910148374,0.008781227352452134,-0.004651346574424144,-0.013889469276931573,-0.014496998183043926,-0.013821404318524688,-0.0035939484038963877,-0.004891821110944465,0.016218114296541866,-0.01660019297344021,-0.01061896573696676,-0.015560898879251757,0.005046239736135714,-0.004005738891041207,-0.062340427358256366,-0.021068722689492378,-0.01673156226372253,-0.015118885175371133,-0.017145938175360798,-0.013083586672094376,-0.01108246066783581,-0.015118097929368824,-0.00467204506589734,-0.009534325869469592,-0.009281896385879196,-0.011639543967394982,-0.00816872256269314,-0.00820539449532526,-0.010857082603526648,0.07113359011491632,0.014224743661135162,-0.008643965018656805,-0.0038374700672040548,-0.009134730998115067,-0.013890774675946094,-0.0042855614437732285,-0.008774663020452692,-0.013484508649934748,-0.01319694280025044,-0.013731910284321852,-0.0295840659283317
O,0.5478684228810505,-0.023396622822918763,-0.05626156235276189,-0.05584567054218165,-0.21474494280616305,-0.1781594937892655,-0.09832244022712913,1.0,-0.0361170799752347,-0.050468323174618336,-0.13533156844008346,-0.12226752320846758,-0.16315103122104835,-0.07755322156727751,-0.1399257085579532,-0.0386987487832844,-0.016477015284081128,0.00898583128003508,-0.051244436213749855,-0.10033462821391649,-0.15964551084602532,-0.04601737609480158,-0.026412769961440794,-0.21852551525032132,-0.08637007086745035,-0.15970500865320578,0.5314336783910669,-0.03400946727766209,-0.10134379899317027,-0.1201377152064236,-0.19088177465744932,-0.16023058033149123,-0.03416541101142124,-0.023436448734514965,0.15628699400341314,0.060403516478409115,-0.14733587845344365,-0.22650791532284606,-0.15699973577431203,-0.04398441127096855,-0.10723649749119889,-0.13642783706735856,-0.1306079728041467,-0.041991052460303095,-0.033157522958259994,-0.12062101572130912,-0.1550407061914,-0.09481362354180363,-0.14649474784781183,-0.027762300415157523,-0.021349453252598054,0.340402274423068,0.07214445185444346,-0.07871531198117447,0.07792289816488883,0.10081791972494014,0.0417103819979855,0.019047282248075198,0.06111087724372974,-0.01694979174158698,-0.011962208324396418,-0.028797820023284043,-0.013108456962784723,-0.01814485891775534,0.009372213558591955,-0.0843700901922367,-0.07700200088247436,-0.107928479772637,-0.03320472385533499,-0.09058792158687097,-0.07440721149374253,-0.13027300468621028,-0.10996460542279045,-0.08248786007551936,0.012195555379530574,-0.012997337319960256,-0.08464879606379795,-0.010397544006751105
F,-0.012892187275510269,-0.009778981036224096,-0.010844587762704454,-0.007679864178462865,-0.026649114033746556,-0.024949203850064387,-0.013693670617572632,-0.0361170799752347,1.0,-0.009859285732427437,-0.016920192588091562,-0.01698556102103055,-0.021998630100564746,-0.003150203493570483,0.19865964495716626,-0.01041129282249873,-0.017362367772171663,0.061198421170478835,-0.007654355644184988,-0.017750802163891934,-0.02202511651430931,-0.007280493272497831,-0.0037638301751462527,0.06923201364105265,-0.007882188019205488,-0.020319644522356316,-0.058285268574932186,-0.004568849170016177,-0.014735930075488058,-0.016270327231818107,0.08263615468049779,-0.009375547864622665,-0.006197978045630195,-0.008171447671095277,0.0054018082567065424,-0.03719229359389396,-0.01990481480085471,-0.0317064346902998,-0.022323459897063802,-0.005921148719720442,-0.015757516307869385,-0.017575984907993735,-0.017594601730034323,0.033667011843338354,-0.0062272720049347365,-0.016540033668246544,-0.02113199044600053,-0.013425026291706192,-0.019461814861148587,-0.0058411384340179475,-0.004272257635232047,-0.04307326668462412,0.012921783738265814,0.05433788147931572,0.0018225070563803092,0.11689698982815566,0.09400552572845977,0.02346307494323658,-0.011006274364781306,-0.001271961502364057,-0.009452230789994093,-0.010223161227473259,-0.014817100759519902,-0.010398756654642865,-0.0063449650809966115,-0.013821030045628754,-0.010472295459662212,-0.014625107415204367,-0.00034793887306152564,-0.012938971880986807,-0.011628482180167016,-0.0176829099643204,-0.014806617590955758,-0.01117011684212301,-0.007005622299869467,-0.01010102764662308,-0.014806579057818047,0.08937052808210402
Na,-0.04136901457253619,0.08436019034105544,-0.00664036102377234,-0.004594134956553912,-0.01504701018379203,0.01709511059893593,0.02306384648835366,-0.050468323174618336,-0.009859285732427437,1.0,-0.008751956521054462,-0.00021713831259194313,-0.0031425740059955283,-0.007432597629059033,0.0027086088907793634,0.08453070583094728,-0.008467180835052332,-0.005859942097521995,-0.004578875617807666,-0.006377160649731809,-0.012304122527326206,-0.004355229189850156,-0.0035059219165360597,0.13729384625722962,0.03450466671744359,-0.013493228023443528,-0.057887797222191284,-0.00403536365940023,-0.008809250650998399,-0.007434480015341554,0.14639152388603305,-0.0025127547274576816,0.018259021837358964,-0.004227407904940808,-0.03257978714912997,-0.02532429083971492,-0.004708974258960898,-0.01823962941827011,-0.012450769707147907,-0.0035420621620503756,-0.010577015234103414,-0.011039656560927601,-0.010525182864724786,-0.004591604762792514,-0.003725186713857263,-0.009488878600189212,-0.012298277162234573,-0.005279772838009014,-0.011574325569342046,-0.003494199590279271,-0.0014799160474565692,-0.03878779810340348,-0.023285880704538315,-0.012872254818414475,-0.011513231760996072,-0.013166972798533374,-0.009963324932599368,-0.005730305020008487,-0.011512632262716734,-0.0035578243380742914,-0.007260515715725829,-0.007068287313025341,-0.008863667243617496,-0.006220590669526771,-0.00624851683303718,-0.008267812528020937,0.004439214627149914,-0.004819865204998313,-0.0032712540868197405,-0.007740160716254376,-0.006956218916654227,-0.010570350641145424,-0.008857396157302426,-0.006682022371840154,0.018491061262514357,-0.009992129132031383,0.010168081114681756,-0.012550363639275726
