,mean_of_knn_distance
sample_496,2.1975541366254667
sample_301,1.8097802669496132
sample_16,1.1491375884810324
sample_446,1.184030991094325
sample_396,0.9011895219209091
sample_37,1.1333264727009753
sample_416,1.7138671028519081
sample_217,2.52956182289327
sample_165,1.5356111170618765
sample_467,1.5331179666889707
sample_108,0.8807913856454535
sample_409,2.041440893546177
sample_295,1.6763800124961847
sample_293,2.0675072150882805
sample_290,1.5965977232823685
sample_447,0.9225957358284121
sample_93,2.3152863200699243
sample_209,2.1887981016730254
sample_288,1.4935869259433552
sample_453,0.8119680084835957
sample_148,1.433175960816932
sample_135,1.7926667402874454
sample_333,1.583572379924489
sample_75,1.9460573589368084
sample_478,1.7670409350803002
sample_368,4.082355060767557
sample_381,8.21783886146651
sample_442,0.7896945901214785
sample_281,1.9860406480866686
sample_506,1.468328889299978
sample_13,2.2952703123325833
sample_436,1.4933496880590151
sample_310,1.0633997514534264
sample_492,2.140832401839711
sample_173,2.031139918245061
sample_355,2.577619749109517
sample_305,2.2626890497982304
sample_246,1.9628552757188031
sample_264,1.2353597412502098
sample_5,1.9741396720295399
sample_374,2.0595503896083125
sample_297,1.8855325945977879
sample_145,1.4506527399965023
sample_55,3.5420646272960283
sample_164,4.1993907821553496
sample_203,2.1643572731470213
sample_221,2.179208062375704
sample_352,2.3774620575312104
sample_379,1.5717149300214661
sample_308,2.372374959519277
sample_107,1.1060414192303867
sample_399,2.4901448201215444
sample_389,1.5024912298129336
sample_25,0.7655717472542731
sample_44,1.2071683641907032
sample_267,1.7648970972593798
sample_376,2.174214032881739
sample_405,2.8033826036998364
sample_323,1.0551239498013794
sample_83,1.3965713338661825
sample_167,2.3694767100982626
sample_484,1.7744410472756371
sample_366,4.525995435206328
sample_125,2.1029479795561308
sample_413,3.4972037694479554
sample_102,1.7010471507791696
sample_449,0.7675108268647333
sample_77,1.874002126403911
sample_133,0.9141220764396725
sample_503,1.3866433849041129
sample_151,1.7918621280525797
sample_505,1.7722505737527747
sample_27,0.7868372128606851
sample_337,1.266466142968224
sample_361,1.6593408119972282
sample_113,1.4868292381293142
sample_303,1.5113598443545662
sample_493,2.5355766609779486
sample_371,3.0402596372932784
sample_28,1.1122928805927985
sample_259,1.344490454337636
sample_358,2.0773187358157688
sample_111,1.6783197636769025
sample_464,1.2857850430137783
sample_205,2.0790685414351855
sample_231,1.4919715080195817
sample_191,1.6244890503610647
sample_248,1.8411007730496727
sample_206,1.393494059069464
sample_395,1.2434115156524146
sample_171,1.3344858114537417
sample_417,1.5176340772600008
sample_378,1.2522104097498488
sample_57,1.763382486415879
sample_149,1.312878222573159
sample_242,1.625295409381205
sample_88,1.161548375358373
sample_91,1.2170515949004426
sample_98,2.0010720275761766
sample_59,1.692739388580319
sample_117,1.101111276620154
sample_502,1.7658566328861078
sample_70,1.3829420859744033
sample_339,1.4590110307639992
sample_309,1.3897703536083927
sample_342,2.2565783861343798
sample_404,2.0110728773889255
sample_214,1.3088925045973645
sample_322,0.9610282991633283
sample_390,0.9799138823580067
sample_387,1.9474610817027922
sample_360,1.2781838105508354
sample_324,1.427003400076865
sample_499,1.2568850431813563
sample_226,1.6890221217256247
sample_90,1.4157660445816531
sample_329,2.523730072548889
sample_391,0.9945153253737695
sample_473,1.4026299834790343
sample_440,1.191294283375361
sample_458,1.3819785502287034
sample_15,1.0564635614079811
sample_491,2.910710343184399
sample_294,2.02597825591577
sample_121,2.5557974474285965
sample_43,1.2446530023653979
sample_197,1.42452660634377
sample_34,0.8845370074985791
sample_474,1.8758879230130372
sample_428,3.771698356760769
sample_283,2.5960734168543644
sample_383,1.1073931064253753
sample_302,1.404205989088093
sample_289,1.5440064010706458
sample_17,1.7130380328368786
sample_159,1.6446786339271573
sample_244,1.3800338358219177
sample_67,1.9943888938109358
sample_422,1.2282642980986755
sample_441,1.8554501363292482
sample_120,1.3973006693976737
sample_452,0.9096198319265583
sample_66,1.8516232773675754
sample_469,1.697126595643832
sample_10,2.058888220319398
sample_19,2.107403700182844
sample_154,1.6279296854106726
sample_300,1.6822328008391305
sample_257,2.0022777907312466
sample_311,2.298445435349777
sample_273,1.673570915366034
sample_134,0.9473158294817707
sample_495,1.4469105928583472
sample_254,3.4757209002966896
sample_271,1.7296931873996648
sample_162,1.864801588379573
sample_287,2.3218136865420727
sample_359,2.149423096537178
sample_338,1.5008729156437892
sample_343,3.3468915905760666
sample_430,1.3084909231599184
sample_2,1.5998252046120514
sample_225,1.3164650915478384
sample_208,2.0809435785611767
sample_118,1.2341337272840476
sample_427,2.0630756809530726
sample_403,1.0130706002923533
sample_365,4.4075682052700484
sample_265,1.158446770820698
sample_275,2.7894593013786517
sample_71,1.2968593849964045
sample_129,0.8229412709552401
sample_451,1.3709258593067042
sample_99,2.401077165435163
sample_369,3.583149430731054
sample_22,0.7441429479973222
sample_194,1.9047950655794925
sample_6,1.687017828898
sample_414,2.9335095400325044
sample_314,0.9917842760425198
sample_136,0.8763292834673914
sample_439,2.2876884048558748
sample_380,1.2076616682494912
sample_328,1.5878242653285635
sample_199,1.4464192794016149
sample_497,1.9360452878703895
sample_204,2.025676242038124
sample_68,1.4146657913666378
sample_224,1.4073299808677058
sample_128,0.9330990041581992
sample_144,1.3860326064714836
sample_327,1.3173294202180952
sample_140,0.8038070945997878
sample_219,2.0800278693356278
sample_480,1.6777267282187531
sample_331,2.390280792059024
sample_158,1.5036597651512864
sample_95,2.6168772258517494
sample_256,1.7960990211786367
sample_475,1.7389200448774411
sample_132,0.7472764325910727
sample_227,1.4065187529523129
sample_40,1.9559785541715349
sample_483,1.8480371048838529
sample_494,1.444812032041319
sample_190,1.8304761104687841
sample_448,0.8104655941485619
sample_435,1.9225195506740627
sample_249,1.9115678129796643
sample_39,1.6616022770817451
sample_243,1.393255123519148
sample_354,4.177434046113999
sample_412,1.781007232794083
sample_139,1.0482152792379211
sample_23,1.040875826622265
sample_160,2.3615169060801913
sample_26,1.1334339833890676
sample_184,1.8077933146749978
sample_241,1.5896974370324528
sample_14,1.141336819278211
sample_146,3.0979128143014942
sample_456,1.2895862117887096
sample_315,1.2194915208208017
sample_362,1.1529580581732006
sample_79,1.4396560949683415
sample_321,0.965193145247871
sample_419,5.8836130293050015
sample_501,1.4121547334020668
sample_392,1.170750287827278
sample_53,1.471450448679699
sample_459,1.3093052852239317
sample_35,1.611460268251277
sample_335,1.6357564877075537
sample_490,2.1597709190312133
sample_377,1.2356845798357052
sample_185,1.8659716258280639
sample_312,1.7861915207445975
sample_326,1.399500305848451
sample_188,2.2735293335771223
sample_285,2.0989245843771798
sample_388,1.8175214317651374
sample_463,0.9742484285247273
sample_166,1.4879637791012965
sample_398,0.9144732339413141
sample_299,1.8905864656214058
sample_24,0.87297809939723
sample_470,1.6357732642518061
sample_348,1.832953020283211
sample_424,1.79390216593973
sample_183,1.6231655698636918
sample_344,2.323513598597887
sample_42,1.32284444904958
sample_357,2.2934807588296975
sample_237,1.963339066357613
sample_432,1.8028990408276209
sample_351,2.157341738321518
sample_76,1.194626975839572
sample_32,0.9609121091153398
sample_350,2.3540361677177435
sample_46,1.7347583428693578
sample_468,1.7399149307486923
sample_109,1.0930620387254064
sample_106,0.9132082967128419
sample_150,1.6450060212354323
sample_30,1.3122657227929746
sample_182,1.423154874689073
sample_110,0.8400739232187732
sample_123,2.072324441484816
sample_472,1.628114602460477
sample_105,0.9092497110831748
sample_61,1.7326472311217214
sample_147,2.3746488680097024
sample_84,1.374030855616206
sample_316,1.1964846166422567
sample_382,1.0040119665441773
sample_423,1.7233442186408392
sample_433,2.081554617768877
sample_228,1.4408243918500436
sample_443,0.8413795791708834
sample_152,1.906379555435467
sample_1,2.05042026114514
sample_268,2.1600691388904343
sample_454,1.7842179168794772
sample_89,1.627740555941524
sample_78,1.2421275643224607
sample_269,2.1958694831564145
sample_418,2.994208690509364
sample_124,2.9462308842645832
sample_298,2.369912622881516
sample_370,2.9557557429573493
sample_96,1.3580986786540314
sample_489,2.132232486777324
sample_12,1.984402002764838
sample_115,1.1738275370449998
sample_332,1.6796637009602116
sample_429,1.59699575179294
sample_258,2.2548060855494807
sample_220,2.2575112972001263
sample_438,1.445390335816896
sample_253,2.079691657078148
sample_353,2.43680081148699
sample_481,1.3955034742185046
sample_262,1.1690913226714978
sample_444,0.7639050647269544
sample_179,1.3502598253949905
sample_411,5.073335742814133
sample_279,1.9014443523207194
sample_20,1.2603344182898815
sample_356,2.6299048556729847
sample_170,1.1493902689772482
sample_240,1.3519346546624678
sample_278,2.5688067698934605
sample_161,3.7234066664428704
sample_74,1.292009442936394
sample_18,0.8883717485643547
sample_63,1.8475204387961426
sample_250,1.5105343925374295
sample_229,2.450947470809455
sample_239,1.2174357992812919
sample_230,2.04060116480136
sample_319,1.2059855010088696
sample_284,3.8845370962078305
sample_48,2.147726050764492
sample_251,1.3970307942704139
sample_80,1.3473685253593464
sample_296,1.8128449296099531
sample_488,1.4832921205991751
sample_21,0.9966709046663125
sample_457,1.2171259751200283
sample_425,1.9607090270567977
sample_141,1.7852446290789754
sample_193,1.6861326328063981
sample_131,0.7319610606629223
sample_216,1.3278268459780034
sample_245,1.812584600729965
sample_364,2.22203473812043
sample_487,1.4467389821495735
sample_60,1.5468955683085714
sample_222,2.591314373718193
sample_177,1.7671313179145838
sample_450,1.0037586233195726
sample_56,2.636566250613572
sample_292,1.979333542380528
sample_255,1.6682347011172864
sample_408,1.8842572041010002
sample_386,1.511965694298222
sample_437,1.4986690259519313
sample_198,1.5865530673665613
sample_69,1.5527686366382096
sample_211,2.0272686131564432
sample_233,1.5229760724317152
sample_202,2.0481667857091126
sample_169,1.084668916308966
sample_186,1.4768408072646868
sample_36,1.0974770073420967
sample_130,0.8942739677270503
