,standard_regression_coefficients
raw_material_1,-0.1300170730226586
raw_material_2,0.21380738810373565
raw_material_3,0.05175387131217105
temperature,-0.013994455723522432
time,3.587416013237782e-05
raw_material_1^2,-0.2921779569542663
raw_material_1*raw_material_2,0.23240779165629435
raw_material_1*raw_material_3,0.44292833739040394
raw_material_1*temperature,-0.06175534209710404
raw_material_1*time,-0.09312856163566026
raw_material_2^2,-0.12559719718193865
raw_material_2*raw_material_3,0.28641458058214825
raw_material_2*temperature,0.08865651595681942
raw_material_2*time,0.22118429640766332
raw_material_3^2,-0.10416631055857349
raw_material_3*temperature,0.01690155277452158
raw_material_3*time,0.040633641398639175
temperature^2,0.012032534448784271
temperature*time,0.0528183996468118
time^2,-0.04767695558244704
