,property_a,property_b
sample_1,0.09791706453585339,0.08474260470978223
sample_2,0.07196389375741022,0.25499318878438365
sample_3,0.07485038963783586,0.39301081116477965
sample_4,0.10657655217713013,0.49879547185097006
sample_5,0.16714238137529328,0.5723471708429549
sample_6,0.2565478772323249,0.6136659081407341
sample_7,0.3747930397482253,0.6227516837443077
sample_8,0.5218778689229945,0.5996044976536758
sample_9,0.6978023647566325,0.5442243498688382
sample_10,0.902566527249139,0.4566112403897951
sample_11,1.1361703564005141,0.3367651692165464
sample_12,0.08768452546327535,0.24368166543084352
sample_13,0.16251718726813638,0.6767790595776602
sample_14,0.25332451936652334,0.7044710038788504
sample_15,0.6987845156148969,0.5941490666171876
sample_16,0.9049505143487588,0.49290916414155544
sample_17,0.0994439817944966,0.37364732575005616
sample_18,0.07629448349876419,0.5166443238314797
sample_19,0.08198465186190038,0.6274083602186977
sample_20,0.11651448688390528,0.7059394349117101
sample_21,0.17988398856477883,0.752237547910517
sample_22,0.2720931569045212,0.7663026992151181
sample_23,0.3931419919031322,0.7481348888255137
sample_24,0.5430304935606118,0.6977341167417038
sample_25,0.7217586618769606,0.6151003829636883
sample_26,0.1331954335295174,0.4746395856674203
sample_27,0.11144777147514012,0.6040097907522548
sample_28,0.11853977607963162,0.7011470341428838
sample_29,0.1544714473429919,0.7660513158393071
sample_30,0.21924278526522084,0.7987226358415249
sample_31,0.3128537898463184,0.7991609941495371
sample_32,0.4353044610862847,0.7673663907633438
sample_33,0.5865947989851197,0.7033388256829449
sample_34,0.18893888066833753,0.5466584451829357
sample_35,0.16859305485531556,0.6624018572711813
sample_36,0.17708689570116232,0.7459123076652213
sample_37,0.2144204032058779,0.7971897963650556
sample_38,0.28059357736946205,0.8162343233706845
sample_39,0.375606418191915,0.8030458886821077
sample_40,0.4994589256732366,0.7576244922993253
sample_41,0.26667432321095697,0.5897039042966026
sample_42,0.24773033363929034,0.6918205233882592
sample_43,0.25762601072649244,0.7617041807857101
sample_44,0.29636135447256323,0.7993548764889554
sample_45,0.36393636487750275,0.8047726104979953
sample_46,0.46035104194131093,0.7779573828128294
sample_47,0.3664017611573758,0.6037759630084208
sample_48,0.3488596078270645,0.6922657891034883
sample_49,0.3601571211556219,0.7485226535043503
sample_50,0.400294301143048,0.7725465562110067
sample_51,0.4692711477893428,0.7643374972234575
sample_52,0.48812119450759406,0.5888746213183904
sample_53,0.47198087741863803,0.6637376544168689
sample_54,0.48468022698855073,0.7063677258211419
sample_55,0.526219243217332,0.7167648355312093
sample_56,0.6318326232616118,0.5449998792265115
sample_57,0.6170941424140111,0.606236119328401
sample_58,0.6311953282252791,0.635239397736085
sample_59,0.7975360474194289,0.4721517367327839
sample_60,0.9852314669810451,0.37033019383720767
sample_61,0.09611832923518288,0.08193151877040572
sample_62,0.07065907771785748,0.25342624990862145
sample_63,0.07403949285940079,0.3926880193526317
sample_64,0.10625957465981281,0.49971682710243637
sample_65,0.16731932311909362,0.5745126731580356
sample_66,0.257218738237243,0.617075557519429
sample_67,0.37595782001426115,0.6274054801866169
sample_68,0.5235365684501481,0.6055024411595992
sample_69,0.6999549835449037,0.5513664404383759
sample_70,0.905213065298528,0.46499747802294716
sample_71,1.1393108137110208,0.3463955539133128
sample_72,0.08562595236990328,0.241201165782085
sample_73,0.06156853709393317,0.3990691039237118
sample_74,0.16243429121923522,0.6792751481833588
sample_75,0.2537355425787399,0.7082112395481633
sample_76,0.7006772966104665,0.6016217434773433
sample_77,0.9073372146054464,0.5016259880653254
sample_78,0.09712557090842303,0.3714974123919157
sample_79,0.07446999187380837,0.5157385575369535
sample_80,0.0806540794980623,0.6277467409877858
sample_81,0.1156778337811849,0.7075219627444125
sample_82,0.17954125472317622,0.7550642228068336
sample_83,0.27224434232403627,0.770373521175049
sample_84,0.393787096583765,0.7534498578490589
sample_85,0.5441695175023624,0.7042932328288634
sample_86,0.7233916050798288,0.622903646114462
sample_87,0.13061718485074233,0.47282025859989785
sample_88,0.10936344205748288,0.6034346107483466
sample_89,0.11694936592309205,0.7018160012025899
sample_90,0.15337495644757,0.7679644299626275
sample_91,0.21864021363091662,0.8018798970284595
sample_92,0.31274513747313193,0.803562402400086
sample_93,0.435689727974216,0.773011946077507
sample_94,0.5874739851341686,0.7102285280607223
sample_95,0.18610079419686093,0.5451697044060313
sample_96,0.1662488876449567,0.6621572635578912
sample_97,0.1752366477519212,0.7469118610155454
sample_98,0.21306407451775447,0.799433496778994
sample_99,0.27973116794245634,0.8197221708482372
sample_100,0.375237928026027,0.8077778832232747
sample_101,0.49958435476846647,0.7636006339041066
sample_102,0.26357639894677887,0.5885457498103162
sample_103,0.24512632863622996,0.6919065159655869
sample_104,0.2555159249845498,0.7630343204266522
sample_105,0.2947451879917383,0.8019291631935118
sample_106,0.36281411765779553,0.8085910442661659
sample_107,0.4597227139827216,0.7830199636446145
sample_108,0.36304399910049623,0.6029483948127524
sample_109,0.34599576503130264,0.6926823679714342
sample_110,0.3577871976209777,0.7501833794359105
sample_111,0.39841829686952157,0.775451429206181
sample_112,0.4678890627769342,0.7684865172822462
sample_113,0.48450359465801296,0.5883776394133401
sample_114,0.4688571968301747,0.6644848195754328
